2,12,6
2,48,8
3,0,19
3,2,1
3,8,5
4,2,6
6,28,15
8,35,10
8,41,2
9,3,21
10,2,21
10,25,17
11,1,2
12,2,23
12,16,18
12,19,13
12,29,16
12,36,5
12,47,7
14,0,14
14,25,17
14,41,5
15,17,25
15,44,3
15,48,15
17,12,23
18,13,1
19,1,19
19,23,6
19,32,25
20,0,21
21,21,11
23,9,9
23,14,16
25,3,8
25,37,3
25,46,19
27,27,8
27,31,1
27,37,25
29,47,12
30,29,17
31,15,20
31,39,13
32,45,7
32,46,1
34,16,2
35,1,2
35,13,17
35,40,10
36,19,19
37,8,21
37,36,25
38,16,9
42,30,14
43,24,23
43,49,25
45,38,11
46,12,17
48,33,18
49,40,6
50,26,9
52,33,15
53,11,16
53,17,6
54,46,4
55,3,1
55,13,23
55,33,12
57,0,15
57,1,6
60,12,13
62,27,8
63,11,13
63,23,2
63,27,6
64,25,4
65,47,7
66,16,9
67,27,22
69,1,8
70,28,21
71,13,15
72,17,12
73,3,14
73,43,14
75,28,25
77,7,17
78,46,2
80,6,19
80,26,20
82,48,8
84,31,22
85,5,3
85,13,24
86,36,11
88,21,23
90,39,7
92,20,18
92,25,24
93,30,3
95,30,25
95,42,24
98,26,22
99,42,9
100,19,6
101,20,11
102,18,18
103,47,15
104,38,5
108,11,23
108,39,8
109,36,18
110,0,11
110,12,18
112,15,13
112,37,15
113,3,2
115,6,22
115,22,3
116,8,25
117,49,21
119,32,7
119,41,2
124,38,19
126,48,15
128,0,14
128,4,14
128,31,9
129,17,24
131,0,3
136,28,1
136,29,20
137,16,12
138,34,10
139,4,6
139,20,15
140,49,11
141,12,6
142,9,6
142,12,14
142,40,24
143,12,7
143,33,24
144,15,11
144,20,12
144,25,18
144,39,25
145,9,11
145,11,4
146,31,17
147,29,8
147,49,15
149,11,11
149,18,15
150,12,24
150,36,10
151,5,13
152,11,17
152,43,17
153,24,23
154,37,11
155,30,23
155,47,25
158,3,23
158,16,22
160,4,8
162,32,13
163,19,13
164,17,17
165,4,26
166,3,20
166,11,8
166,12,15
166,24,16
166,49,23
167,18,6
167,34,10
167,39,21
170,12,24
171,10,22
171,14,23
172,13,16
174,3,20
175,29,2
176,4,23
176,46,25
176,48,21
177,42,9
179,5,10
179,22,10
181,42,8
182,20,25
185,20,20
187,49,17
188,10,7
188,24,10
189,11,15
191,47,11
192,18,10
193,36,2
194,6,18
194,8,18
194,15,2
195,10,11
203,13,5
203,19,3
203,45,23
206,25,6
206,43,11
207,7,5
208,18,9
209,18,14
211,35,17
213,26,39
213,35,11
214,5,16
215,43,11
217,48,13
218,16,1
220,13,7
220,17,10
222,7,5
222,45,24
223,18,23
224,39,9
225,14,3
226,37,7
230,24,14
230,37,7
232,17,19
233,42,9
234,13,16
234,34,8
234,45,21
235,2,7
235,7,22
235,45,22
237,32,20
239,21,4
241,28,15
241,35,12
242,14,9
244,24,21
245,11,13
246,23,17
247,20,23
248,36,5
251,18,20
251,23,19
252,1,6
253,6,20
256,8,18
256,40,13
260,2,14
260,32,14
262,5,8
262,26,20
269,48,11
270,24,8
270,42,7
272,5,3
273,13,5
274,2,14
277,9,13
277,12,22
278,0,13
278,16,25
278,18,9
278,48,5
279,33,21
280,23,15
280,36,10
281,30,17
282,0,17
283,29,19
