0,355,117
0,393,33
0,395,20
0,412,154
1,38,11
1,341,79
1,489,146
2,60,82
2,65,152
2,128,85
2,162,184
2,253,37
2,259,15
2,430,125
3,85,53
3,329,184
4,44,72
4,291,156
4,391,42
4,396,59
5,3,151
5,96,187
5,141,114
5,172,119
6,177,112
6,183,24
6,266,18
6,343,47
7,9,183
7,64,196
7,201,79
7,285,137
7,313,187
7,409,126
7,439,102
8,12,31
8,66,173
8,168,125
8,343,61
9,175,53
9,381,20
9,466,65
9,487,126
10,78,30
10,199,58
10,348,37
10,403,245
10,405,23
10,467,109
11,232,65
11,292,120
11,322,195
11,356,131
11,446,108
11,482,41
12,44,48
12,86,167
12,120,176
12,152,18
12,215,198
12,253,17
12,327,95
12,366,52
12,476,118
13,76,34
13,194,159
13,230,172
13,300,82
14,88,83
14,223,110
14,278,56
14,357,26
14,418,136
14,440,155
15,54,155
15,111,88
15,257,181
15,281,179
15,297,12
15,377,69
15,397,177
16,49,189
16,69,98
16,474,162
17,55,74
17,226,70
17,455,164
18,80,170
18,84,57
18,174,105
18,411,53
19,24,19
19,81,119
19,186,159
19,357,115
20,103,192
20,368,329
20,400,192
21,64,30
21,91,7
21,192,142
21,256,133
21,429,198
21,475,78
22,338,8
22,408,45
23,206,128
23,210,138
23,249,89
23,377,122
23,450,62
24,56,118
24,82,141
24,110,25
24,153,171
24,445,117
25,109,12
25,173,199
25,264,66
25,421,3
25,429,74
25,487,71
26,157,35
26,168,191
26,188,110
26,242,158
26,384,88
26,396,60
26,434,132
26,436,93
26,449,106
27,48,7
27,130,190
27,157,133
28,0,23
28,9,77
28,123,123
28,126,141
28,148,71
28,206,107
29,16,182
29,42,196
29,241,111
29,278,76
29,359,34
29,395,54
29,435,137
30,339,92
30,359,66
30,383,59
31,18,73
31,45,92
31,160,150
31,246,80
31,356,16
31,455,71
32,156,77
32,219,193
32,293,171
32,314,7
32,419,186
33,49,119
33,56,158
33,152,194
33,196,101
33,378,68
33,432,33
34,66,190
34,119,149
34,337,173
34,416,10
35,38,25
35,74,173
35,87,82
35,160,121
35,237,48
35,247,109
35,255,119
36,124,83
36,350,187
36,401,108
37,87,183
37,144,65
37,193,27
37,323,11
37,347,70
37,377,33
37,444,91
37,483,159
38,18,69
38,39,8
38,121,37
38,172,154
38,217,68
38,338,198
39,270,151
39,411,192
40,59,39
40,191,89
40,407,170
40,428,114
41,133,162
41,222,2
41,255,85
41,302,82
41,337,13
41,472,10
42,192,76
42,277,40
42,320,198
42,409,165
42,467,42
43,212,116
43,370,189
44,172,197
44,189,41
44,280,150
44,393,80
44,415,80
45,27,63
45,136,16
45,216,106
45,350,105
46,12,31
46,176,56
46,345,79
47,9,108
47,236,163
47,345,173
47,401,42
47,494,126
48,86,51
48,164,179
48,222,106
48,326,197
48,403,4
48,453,53
48,463,41
49,187,51
49,317,122
49,453,195
50,327,115
51,3,116
51,40,142
51,82,253
51,178,184
51,222,115
51,464,119
52,17,78
52,72,132
52,106,16
52,144,145
52,282,106
52,412,58
52,479,113
53,19,1
53,82,178
53,83,11
53,183,120
53,193,107
53,265,175
53,336,105
53,347,90
54,205,118
54,212,20
54,226,106
54,277,81
54,302,78
55,17,86
55,35,43
55,60,122
55,61,96
55,152,34
56,42,156
56,120,51
56,165,172
56,280,36
56,295,89
56,406,114
57,378,110
58,93,45
58,192,193
58,223,73
58,424,184
58,440,20
58,462,113
59,81,97
59,339,68
59,378,55
60,156,105
60,379,38
61,193,141
61,199,93
61,471,138
61,480,73
62,52,163
62,240,136
62,393,87
62,435,81
63,111,130
63,257,37
63,376,20
63,377,99
64,127,178
64,315,152
64,374,120
65,16,62
65,106,79
65,240,107
65,267,112
65,358,11
65,441,90
66,81,200
66,113,80
66,189,39
66,201,179
66,241,113
66,453,4
66,470,197
67,15,67
67,68,29
67,110,135
67,126,19
67,136,74
67,300,171
67,369,148
67,371,57
67,493,1
68,161,50
68,203,116
68,301,73
68,352,83
68,437,155
69,65,45
69,138,91
69,139,115
69,167,151
69,232,174
69,268,173
69,309,82
69,347,176
69,366,36
69,480,120
70,75,37
70,81,88
70,94,134
70,126,132
70,190,53
70,247,23
71,4,178
71,201,172
71,372,129
71,386,107
71,422,82
72,51,174
